variables,functional,Bioclimatic1
Acer,woody,Mesophytes
Alisma,hydrophyte,Moisture
Alnus,woody,Mesophytes
Apiaceae,herbs,
Arbutus.unedo,woody,Mediterranean
Aristolochia,herbs,
Artemisia,herbs,
Asphodelus,herbs,
Asplenium,fern,Moisture
Asteroidae,herbs,
Berberidaceae,herbs,Ruderals
Betula,woody,Mesophytes
Boraginaceae,herbs,Ruderals
Botrychium,fern,Moisture
Brassicaceae,herbs,
Buxus,woody,Mediterranean
Callitriche,hydrophyte,Moisture
Campanulaceae,herbs,Ruderals
Cannabis.Humulus.t,herbs,
Carduaceae,herbs,
Carpinus,woody,Mesophytes
Caryophyllaceae,herbs,
Castanea,woody,Mesophytes
Cedrus,woody,Mountain
Centaurea,herbs,
Cerealia,herbs,
Chenopodiaceae,herbs,Steppe
Cichorioidae,herbs,Steppe
Cistaceae,woody,Mediterranean
Colchicum,herbs,
Convolvulaceae,herbs,Ruderals
Corydalis,herbs,
Corylus,woody,Mesophytes
Crassulaceae,herbs,
Crocus.t,herbs,
Cyperaceae,hygrophyte,Moisture
Dipsacaceae,herbs,Ruderals
Ephedra,woody,Steppe
Epilobium,herbs,
Equisetum,fern,Moisture
Ericaceae,woody,
Euphorbiaceae,herbs,Ruderals
Evergreen.Quercus,woody,Mediterranean
Fabaceae,herbs,Ruderals
Fagus,woody,Mesophytes
Filipendula,herbs,Ruderals
Fraxinus,woody,Mesophytes
Fumariaceae,herbs,Ruderals
Genista,woody,
Gentiana,herbs,
Geraniaceae,herbs,Ruderals
Hedera.helix,woody,
Helianthemum,woody,Mediterranean
Ilex.Aquifolium,woody,Mountain
Iridaceae,herbs,
Isoetes,hydrophyte,Moisture
Juglans,woody,Mesophytes
Juncus,hygrophyte,Moisture
Juniperus,woody,
Lamiaceae,woody,
Ledum.palustre,hygrophyte,Moisture
Lemna,hydrophyte,Moisture
Liliaceae,herbs,
Linum,herbs,
Lotus.t,herbs,Ruderals
Lygeum.spartum,herbs,
Lythrum,hygrophyte,Moisture
Malvaceae,herbs,Ruderals
Marcescent.Quercus,woody,Mesophytes
Mentha.t,herbs,
Myrica,woody,
Myriophillum,hydrophyte,Moisture
Myrtus,woody,Mediterranean
Nuphar,hydrophyte,Moisture
Nymphaea,hydrophyte,Moisture
Oleaceae,woody,Mediterranean
Onagraceae,herbs,
Orobanche,herbs,
Papaver,herbs,Ruderals
Pedicularis,hygrophyte,Moisture
Picea,woody,Mountain
Pinus.sylvestris.nigra.t,pine,
Pinuspinaster.halepensis.t,pine,
PinusT,pine,
Pistacia,woody,Mediterranean
Plantago,herbs,Ruderals
Plumbaginaceae,herbs,Ruderals
Poaceae,herbs,
Polygonaceae,herbs,Ruderals
Polypodium,fern,Moisture
Populus,woody,Mesophytes
Potamogeton,hydrophyte,Moisture
Potentilla,herbs,Ruderals
Primulaceae,herbs,Ruderals
Pteris,fern,Moisture
Ranunculaceae,herbs,
Ranunculus,hygrophyte,Moisture
Resedaceae,herbs,Ruderals
Rhamnus,woody,Mediterranean
Ribes,woody,
Rosaceae,woody,
Rubiaceae,herbs,Ruderals
Rumex,herbs,Ruderals
Salix,woody,Mesophytes
Sambucus,woody,Riparian
Sanguisorba,herbs,
Saxifragaceae,herbs,
Scrophulariaceae,herbs,Ruderals
Selaginella,fern,Moisture
Sparganium,hygrophyte,Moisture
Spora.monolete,fern,Moisture
Spora.monolete.ornamentada,fern,Moisture
Spora.trilete,fern,Moisture
Spora.trilete.ornamentada,fern,Moisture
Stratiotes,hygrophyte,Moisture
Tamarix,woody,Riparian
Taxus,woody,Mountain
Thalictrum,hygrophyte,Moisture
Thymelaea,woody,Mediterranean
Tilia,woody,Mesophytes
Trifolium.t,herbs,Ruderals
Typhaceae,hygrophyte,Moisture
Ulmus,woody,Mesophytes
Urticaceae,herbs,Ruderals
Utricularia,hygrophyte,Moisture
Valerianaceae,herbs,Ruderals
Viburnum,woody,Mediterranean
Violaceae,herbs,Ruderals
